id	mimNumber	preferredTitle	growthExists	growthHeightExists	growWeightExists	growthOtherExists	headAndNeckExists	headAndNeckHeadExists	headAndNeckFaceExists	headAndNeckEarsExists	headAndNeckEyesExists	headAndNeckNoseExists	headAndNeckMouthExists	headAndNeckTeethExists	headAndNeckNeckExists	respiratoryExists	respiratoryNasopharynxExists	respiratoryLarynxExists	respiratoryAirwaysExists	respiratoryLungExists	chestExists	chestExternalFeuturesExists	chestRibsSternumClaviclesAndScapulaeExists	chestBreastExists	chestDiaphragmExists	genitourinaryExists	genitourinaryExternalGenitaliaMaleExists	genitourinaryExternalGenitaliaFemaleExists	genitourinaryInternalGenitaliaMaleExists	genitourinaryInternalGenitaliaFemaleExists	genitourinaryKidneysExists	genitourinaryUretersExists	genitourinaryBladderExists	skeletalExists	skeletalSkullExists	skeletalSpineExists	skeletalPelvisExists	skeletalLimbsExists	skeletalHandsExists	skeletalFeetExists	skinNailsHairExists	skinNailsHairSkinExists	skinNailsHairSkinHistologyExists	skinNailsHairSkinElectronMicroscopyExists	skinNailsHairNailsExists	skinNailsHairHairExists	muscleSoftTissueExists	abdomenExists	abdomenExternalFeaturesExists	abdomenLiverExists	abdomenPancreasExists	abdomenBiliaryTractExists	abdomenGastrointestinalExists	abdomenSpleenExists	voiceExists	metabolicFeaturesExists	endocrineFeaturesExists	hematologyExists	immunologyExists	neoplasiaExists	prenatalManifestationsExists	prenatalManifestationsMovementExists	prenatalManifestationsAmnioticFluidExists	prenatalManifestationsPlacentaAndUmbilicalCordExists	prenatalManifestationsMaternalExists	prenatalManifestationsDeliveryExists	laboratoryAbnormalitiesExists	miscellaneousExists	molecularBasisExists	neurologicExists	neurologicCentralNervousSystemExists	neurologicPeripheralNervousSystemExists	neurologicBehavioralPsychiatricManifestationsExists	Sympton	Disease
11	613762	"46,XY SEX REVERSAL 6; SRXY6"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	"Increased height in females Hypospadias, penile    ; Hypospadias, perineal   ; Chordee   ; Ambiguous male external genitalia (rare) Normal-appearing female external genitalia ; Clitoromegaly (rare)  Dysgenetic testes Streak ovaries   ; Uterus hypoplastic to normal ; Fallopian tubes normal  Sparse axillary and pubic hair  ; Hirsutism (rare)  Gonadoblastoma   ; Dysgerminoma   Caused by mutation in the mitogen-activated kinase kinase kinase 1 gene (MAP3K1, )"	Yes
12	614279	"46,XY SEX REVERSAL 8; SRXY8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Ambiguous external genitalia    Testicular tissue able to convert dihydroepiandrosterone and androstenedione to testosterone ; Cryptorchidism     Rudimentary mullerian structures (rare) Undervirilization  ; Elevated urinary gonadotropins ; Low urinary estrogens ; Urinary 17-oxosteroids normal ; Urinary 17-hydroxycorticoids normal ; Baseline pregnanediol and pregnanetriol normal ; Pregnanetriolone (Ptl) present in urine ; Absent dehydroepiandrosterone-sulphate, even after ACTH stimulation ; No increase in testosterone after HCG or ACTH stimulation ; Absent or minimal increase in pregnanetriol after HCG stimulation ; Marked increase in pregnanetriolone after HCG or ACTH stimulation ; Increase in pregnanediol and pregnanetriol after ACTH stimulation ; Minimal testosterone yielded by progesterone and pregnenolone or their respective 17-alpha-hydroxylates Only 46,XY individuals are affected Caused by mutation in aldo-keto reductase family 1, member C2 gene (AKR1C2, )"	Yes
13	616067	"46,XY SEX REVERSAL 9; SRXY9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	"Ambiguous external genitalia    ; Genital tubercle present at birth; Striated genital foldsHypertrophic labia majora; Fused labia minora  Partial or complete gonadal dysgenesis; Absence of germ cells on histologyRudimentary vaginal cavity may be present; Rudimentary uterus may be presentBilateral fifth-finger clinodactyly (in some patients)Based on report of 2 probands (last curated October 2014); Only 46,XY individuals are affected Caused by mutation in the zinc finger protein, multitype-2 gene (ZFPM2, )Learning and language difficulties (in some patients); Subtentorial ventricular dilation (in some patients)Autism spectrum disorder (in some patients)  "	Yes
14	616425	"46,XY SEX REVERSAL 10; SRXY10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	"Ambiguous genitalia (in some patients)  ; Urogenital sinus  ; Micropenis  Unambiguously female-appearing genitalia (in some patients)Small testis (rare) ; Dysgenetic male gonads (rare)Absent menarche; Vagina present (in some patients); Uterus present  ; Absent or rudimentary uterus (rare); Fallopian tube(s) present; Streak ovaries   ; Gonadoblastoma   ; Dysgerminoma   ; Yolk sac tumor, malignant (rare)No skeletal abnormalities detectedElevated follicle-stimulating hormone (FSH) levels; Elevated luteinizing hormone (LH) levels; Low anti-Mullerian hormone (AMH) levels; Testosterone level in normal male rangeGonadal germ cell tumors (in some patients)46,XX carriers are unaffectedCaused by deletion of a 32.5-kb regulatory region (XYSR) -640 to -607 kb upstream of the SRY-box-9 gene (SOX9, )"	Yes
15	300066	"DEAFNESS, X-LINKED 4; DFNX4"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Hearing loss, sensorineural     ; Hearing loss first affects high frequencies Postlingual onset ; Age at onset in males ranges from 3 to 7 years ; Age at onset in females ranges from childhood to the fourth decade ; All patients have severe hearing loss 10 to 15 years after onset ; Females carriers have more variable age at onset and severity Caused by mutation in the X-linked small muscle protein gene (SMPX, )"	Yes
16	300475	"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH"	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	"Failure to thrive    Microcephaly      Facial dysmorphism   Sensorineural deafness     Strabismus  ; Optic atrophy (in some patients)  Abnormal liver enzymes during illness Early death may occur Caused by mutation in the B-cell receptor-associated protein 31 gene (BCAP31, )Mental retardation, severe     ; Lack of psychomotor development   ; Dystonia    ; Pyramidal signs   ; Quadriplegia     ; Seizures (in some patients)  ; Hypomyelination   ; Cerebral atrophy   ; Cerebellar atrophy  "	Yes
17	300614	"DEAFNESS, X-LINKED 5; DFNX5"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	"Hearing loss, progressive ; Tinnitus  ; Loss of outer hair cell function ; Decreased otoacoustic emission amplitude ; Abnormal auditory brainstem responses ; Abnormal middle ear reflexes  ; Abnormal speech discrimination  ; Cochlear nerve hypoplasiaOnset of hearing loss prior to or during adolescence ; Peripheral neuropathy occurs in adulthood ; Slowly progressive MOLECULR BASIS : Caused by mutation in the apoptosis-inducing factor, mitochondrion-associated, 1 gene (AIFM1, )Peripheral sensory axonal neuropathy  ; Distal sensory impairment  ; Hypo- or areflexia ; Unsteady gait   ; Decreased or absent sensory nerve conduction velocities; Decreased or absent sensory nerve action potential amplitudes"	Yes
18	300719	"DEAFNESS, CATARACT, RETINITIS PIGMENTOSA, AND SPERM ABNORMALITIES"	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Deafness, bilateral with postpubertal onset and rapid progression to profound deafness within 5 to 6 years Cataract, posterior subcapsular  ; Pigmentary changes consistent with retinitis pigmentosa Infertility   ; Misshapen sperm with decreased motility "	Yes
19	300914	"DEAFNESS, X-LINKED 6; DFNX6"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Deafness, sensorineural, bilateral    ; Cochlear malformation  ; Incomplete separation of the cochlea from the internal auditory canal One family has been reported (last curated January 2014) ; Prelingual onset in males ; Female carriers may develop mild hearing loss as adults Caused by mutation in the collagen, type IV, alpha-6 gene (COL4A6, )"	Yes
20	304400	"DEAFNESS, X-LINKED 2; DFNX2"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Deafness, profound ; Hearing loss, conductive     ; Hearing loss, sensorineural, progressive  ; Wide bulbous internal auditory meatus ; Deficient or absent bone between the lateral end of the meatus and basal turn of the cochlea ; Abnormal communication between the subarachnoid space in the meatus and the perilymph ; Stapes fixation Leakage of fluid ('gusher') if the stapes is disturbed ; Female carriers may have mild hearing impairment Caused by mutation in the POU domain, class 3, transcription factor 4 gene (POU3F4, )"	Yes
21	400043	"DEAFNESS, Y-LINKED 1; DFNY1"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"Hearing loss, sensorineural, postlingual progressive, moderate to severe ; Tinnitus (less common)  Onset between 7 and 27 years of age "	Yes
22	124480	"DEAFNESS, CONGENITAL, AND ONYCHODYSTROPHY, AUTOSOMAL DOMINANT; DDOD"	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"Hearing loss, sensorineural     Coniform teeth (in some patents) ; Selective tooth agenesis (in some patients)  Brachydactyly    ; Finger-like thumbs   ; Triphalangeal thumbs (in some patients)  ; Short terminal phalanx of the fifth finger ; Bulbous swelling of the fingertips Syndactyly of toes (in some patients)  ; Hypoplasia or absence of the terminal phalanges Hypoplastic nails   ; Absent nails   ; Small nails   ; Fissured nails ; Dystrophic nails    Onset at birth  ; Variable phenotype  "	Yes
23	124500	"DEAFNESS, CONGENITAL, WITH KERATOPACHYDERMIA AND CONSTRICTIONS OF FINGERS AND TOES"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Hearing loss, mild to moderate  Circular constrictions of digits (pseudoainhum) ; Autoamputation  Papular keratoderma, mild ; Honeycomb keratoderma ; Starfish-like acral keratoses (knuckles) ; Pseudoainhum   ; Autoamputation of digits  Allelic to deafness, autosomal recessive 1, (), deafness, autosomal dominant 3, (), keratoderma, palmoplantar, with deafness, (), keratitis-ichthyosis-deafness syndrome, (), hystrix-like ichthyosis with deafness, (), Bart-Pumphrey syndrome, ()Caused by mutation in the gap junction protein, beta-2, 26kD gene (GJB2, )"	Yes
24	220290	"DEAFNESS, AUTOSOMAL RECESSIVE 1A; DFNB1A"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"Hearing loss, sensorineural, prelingual profound ; Vestibular dysfunction (in some patients)  About half of patients report vestibular symptoms Caused by mutation in the gap junction protein, beta-2 gene (GJB2, ); Caused by mutation in both the gap junction protein, beta-2 gene (GJB2, ) and the gap junction protein, beta-6 gene (GJB6, ); Caused by mutation in both the gap junction protein, beta-2 gene (GJB2, 121011.0014}) and the gap junction protein, beta-3 gene (GJB3, 603324.0011})"	Yes
25	220500	"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS"	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	"Microcephaly      ; Narrow bifrontal diameter Coarse facies  ; Long philtrum   Deafness, sensorineural, profound ; Low-set ears    Optic atrophy     ; Blindness  ; High myopia   ; Cataracts   Broad nasal bridge    ; Large nose   ; Bulbous nasal tip   ; Anteverted nares    Thick, everted lower lip ; Downturned corners of the mouth  ; High-arched palate    Cystic renal dysplasia (less common)  ; Renal aplasia (less common)  Small or absent distal phalanges  ; Triphalangeal thumbs    Small or absent distal phalanges  Small or absent nails on the hands and feet Increased serum and urinary 2-oxoglutarate DOOR is acronym for Deafness, Onychodystrophy, Osteodystrophy, mental Retardation, and Seizures ; Presence of additional features is variable ; Progressive disorder  Caused by mutation in the TBC1 domain family, member 24 gene (TBC1D24, )Mental retardation    ; Hypotonia   ; Seizures     ; Cerebral atrophy   ; Dilated ventricles  ; Dandy-Walker malformation (rare)  Peripheral polyneuropathy ; Hyporeflexia   "	Yes
26	221745	"DEAFNESS, SENSORINEURAL, AUTOSOMAL-MITOCHONDRIAL TYPE"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"Hearing loss, progressive sensorineural  2-locus model fits simultaneous autosomal recessive gene and mitochondrial gene mutation ; Onset in infancy or childhood "	Yes
27	600060	"DEAFNESS, AUTOSOMAL RECESSIVE 2; DFNB2"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	"Hearing loss, sensorineural, prelingual ; Hearing loss affects all frequencies Onset usually at birth, but may occur later ; Allelic disorder to autosomal dominant nonsyndromic sensorineural deafness (DFNA11, ) and Usher syndrome type IB ()Caused by mutation in the myosin VIIA gene (MYO7A, )Vestibular dysfunction  ; Vertigo  "	Yes
